Award Year,Organization Receiving Award,Use of Funds,Award Type,Amount,Type of Assistance
FY2021,"CoquinaLLC / Palace Chop House, LLC",Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,Lithia Park Shoes / Neuman Properties & Development LLC,Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,Chill out salon / ashland Shopping center LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Waterstone Salon / Neuman Properties & Development LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Preskenis Perrin Associates, Inc (DBA Centerpoint) / 283-303 East Main Street LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Crest Credit Consulting / 283-303 East Main Street LLC,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Avant Garb / Brian Gies and Ken Morrish,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Flavor the Restaurant, LLC ;DBA: Oberon's Restaurant and Bar /",Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Falcos pub,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Omars Inc / Aussie Fuego, LLC",Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,"Escape Ashland / Deluca Revocable Trust c/o CPM Real Estate Services, Inc.",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Oregon Cabaret Theatre, Inc. / Ashland Historic Property LLC",Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Mountain Provisions /,Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,Little Tokyo /,Commercial Rent Relief,Grant,27000,Commercial Rent Relief and Operational Assistance
FY2021,Sew Creative / Bjorklund LLC,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Three Penny Mercantile / Bjorklund LLC,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,More Fun / Bjorklund LLC,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,Taqueria Picaro / Bjorklund LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Snap Fitness / Bjorklund LLC,Commercial Rent Relief,Grant,34000,Commercial Rent Relief and Operational Assistance
FY2021,Mountain Tea Temple LLC / ROCKINGHORSE 7 LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Mas Southern Oregon LLC / 141 Lithia Way LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,La baguette / A Street enterprises,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Getngear / A St enterprises,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Holistic Health Acupunture / Golden-Fields Property Management,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Jones Family Dentistry / Golden-Fields Property Management,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,David Kaminker / Golden-Fields Property Management,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Studio Danielle /,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Strands Salon /,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Posh Organics / Elks Lodge #944 Benevolent and Protective Order of Elks,Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,Rogue Payroll & Bookkeeping LLC / Golden-Fields Property Management,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Hands on Wellness / Golden-Fields Property Management,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Medical Billing Solutions / Phreds Phono & Games Inc.,Commercial Rent Relief,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,"Quantum pacific, LLC DBA Drina Daisy Bosnian Restaurant / James Long",Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,The Ten Fifteen Theater LLC / Astoria Odd Fellows LLC,Commercial Rent Relief,Grant,37000,Commercial Rent Relief and Operational Assistance
FY2021,The Green Door LLC / Astoria Odd Fellows LLC,Commercial Rent Relief,Grant,18000,Commercial Rent Relief and Operational Assistance
FY2021,The Sea Gypsy Gifts / Astoria Odd Fellows LLC,Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,"Capricorn Pub and Fine Dining, LLC /",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,West Coast Artisans /,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Astoria Full Fitness, Inc / Hotel Gearhart Inc",Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"Retail Innovations, LLC /",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Carruthers Kitchen Inc / Carruthers LLC Albert Wiebel Trust,Commercial Rent Relief,Grant,48000,Commercial Rent Relief and Operational Assistance
FY2021,Video Horizons /,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Price illustration & Design / Hotel Gearhart Inc,Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"AJS CORNER BRICK BAR & GRILL LLC / 221B, LLC",Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,The loft restaurant and bar / Port of Bandon,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,prowler charters / Port of Bandon,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,DulsEnergy Inc. / Port of Bandon,Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,Jens Joint / Continuum Building,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Cascade Wireless, LLC / Northgate Enterprises, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"BPW, Inc. / Chang & Murphy Enterprises, LLC",Commercial Rent Relief,Grant,40000,Commercial Rent Relief and Operational Assistance
FY2021,KingPins Beaverton / Center Development Oreg. LLC,Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,"Moda Studios LLc / North Neighborhood, LLC and Concord NOPO, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Magnolia Family Dentistry, LLC / JJ Chung LLC",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"McMenamins Inc. / Center Development Oreg. II, LLC",Commercial Rent Relief,Grant,18000,Commercial Rent Relief and Operational Assistance
FY2021,Tehroon Restaurant LLC / Beaverton Town Square LLC,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Salon Jules Beauty Lounge LLC / Eun Sang Lee & Min Ja Lee,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Farber Swim School /,Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,"Milky Way Inc. / Schendel Investment, LLC",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"Siam Lotus LLC / The Round Owner, LLC",Commercial Rent Relief,Grant,27000,Commercial Rent Relief and Operational Assistance
FY2021,Letsgetyoufit LLC / Eastern Western Corporation,Commercial Rent Relief,Grant,55000,Commercial Rent Relief and Operational Assistance
FY2021,Bella Bliss Salon LLC / Glider Ridge LLC,Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"Bento's Teriyaki / Schendel Investment, LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Cedar Hills Dental LLC / Glider Ridge LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Hurlie's Incorporated / ARE Investment Company LLC,Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,"The hair boutique / DeBraTre, LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,Haiyan International Dance Academy / Pacific N.W. Properties Limited Partnership,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Angel Cleaners Inc / Sunset 185, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Spectra Gymnastics, LLC / Harsch Investment Properties, LLC",Commercial Rent Relief,Grant,28000,Commercial Rent Relief and Operational Assistance
FY2021,Pietros Restaurant Group Inc / Skoro Family Trust,Commercial Rent Relief,Grant,67000,Commercial Rent Relief and Operational Assistance
FY2021,Farber Swim School / SoccerPlex LLC,Commercial Rent Relief,Grant,41000,Commercial Rent Relief and Operational Assistance
FY2021,"Bouffant Hair Salon / Center Development Oreg. II, LLC",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,Oregon Metropolitan Elite Gymnastics Academy LLC / Pacific NW Properties Limited Partnership,Commercial Rent Relief,Grant,33000,Commercial Rent Relief and Operational Assistance
FY2021,"Gallagher Designs, Inc. / Buckskin Mary, LLC",Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,Sushi Chiyoko inc / Center Development Oreg. LLC,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Oregon State Tae Kwon Do Inc / Murray Scholls LLC,Commercial Rent Relief,Grant,55000,Commercial Rent Relief and Operational Assistance
FY2021,Mari's Little Lambs Certified Child Care / Chinook Investmnent COmpany,Commercial Rent Relief,Grant,98000,Commercial Rent Relief and Operational Assistance
FY2021,"Wok n Guys / Griffith Center, LLC",Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,"QMEXBEAV LLC / Griffith Center, LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Pacific Beach Tan, Inc. / Griffith Center, LLC",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,"Nebulous Taproom LLC / Beaverton Town Square, LLC",Commercial Rent Relief,Grant,54000,Commercial Rent Relief and Operational Assistance
FY2021,Brows to Bottoms / Twyst Salon LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Ringo's Bar & Grill / Holland Inestments Inc,Commercial Rent Relief,Grant,46000,Commercial Rent Relief and Operational Assistance
FY2021,"Big Red's Bar & Grill / Gray Parkside Plaza, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Daytime Enrichment Activities & Recreation, Inc. / PNWP LLC #5",Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,Hoy Corporation LLC / Ted chong,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Shari's Management Corporation / Roberta Wade Pierce and Wendyology, LLC",Commercial Rent Relief,Grant,73000,Commercial Rent Relief and Operational Assistance
FY2021,"Super Brow Threading LLC / Roberta Wade Pierce and Wendyology, LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Acupuncture & Wellness NW, PC / Park Plaza Office LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,SacheInternational Language / Park Plaza Office LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Yogalina LLC / Park Plaza Office LLC,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Yogalina LLC / Park Plaza Office LLC,Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,Studio 10 karaoke box / Diamond Park LLC,Commercial Rent Relief,Grant,23000,Commercial Rent Relief and Operational Assistance
FY2021,True North Wellness / Park Plaza Office LLC,Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,"KBJ Cutters, Inc. / Roberta Wade Pierce and Wendyology, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"McMenamins Inc. / Roberta Wade Pierce and Wendyology, LLC",Commercial Rent Relief,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,"Pacific Growlers LLC / Gray Parkside Plaza, LLC",Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"PetLandia, Inc. / Park 219 Business Park LLC",Commercial Rent Relief,Grant,34000,Commercial Rent Relief and Operational Assistance
FY2021,"PJ's Coffee Inc / IN Palm Springs, LLC",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,"Beautify Me LLc / Kreutzer Properties, LLC",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"Function Dynamics / Arctic Investments, LLC",Commercial Rent Relief,Grant,34000,Commercial Rent Relief and Operational Assistance
FY2021,"Star Autism Support / Arctic Investments, LLC",Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,"Pacific Beach Tan, Inc. / Pacific Place Center LLC",Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"Back In Motion Chiropractic and Sports Rehab Center / Gray Parkside Plaza, LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Portland Running Co. Inc. / Pacific Place Center LLC,Commercial Rent Relief,Grant,36000,Commercial Rent Relief and Operational Assistance
